#day                      flux
 1.226835680624019e+03 1.007540187500000e+06 
 1.226842492067124e+03 1.008011937500000e+06 
 1.226849303410228e+03 1.007457437500000e+06 
 1.226856114953363e+03 1.007962812500000e+06 
 1.226862926396469e+03 1.007571062500000e+06 
 1.226869737839603e+03 1.007956875000000e+06 
 1.226876549182707e+03 1.007631875000000e+06 
 1.226883360725842e+03 1.007457187500000e+06 
 1.226890172168976e+03 1.007859562500000e+06 
 1.226896983612132e+03 1.007849625000000e+06 
 1.226903795055267e+03 1.007655875000000e+06 
 1.226910606398400e+03 1.007849687500000e+06 
 1.226917417941564e+03 1.008094000000000e+06 
 1.226924229384727e+03 1.008167375000000e+06 
 1.226931040827891e+03 1.007883500000000e+06 
 1.226937852371055e+03 1.007892187500000e+06 
 1.226944663714217e+03 1.007768687500000e+06 
 1.226951475157410e+03 1.007843875000000e+06 
 1.226958286600566e+03 1.008137562500000e+06 
 1.226965098143759e+03 1.007943625000000e+06 
 1.226971909586951e+03 1.008003375000000e+06 
 1.226978720930143e+03 1.007949125000000e+06 
 1.226985532373335e+03 1.008166562500000e+06 
 1.226992343816557e+03 1.007916500000000e+06 
 1.226999155359750e+03 1.007826000000000e+06 
 1.227005966702971e+03 1.007923750000000e+06 
 1.227012778146192e+03 1.007877562500000e+06 
 1.227019589589378e+03 1.007883125000000e+06 
 1.227026401132629e+03 1.007841312500000e+06 
 1.227033212575850e+03 1.007736937500000e+06 
 1.227040023919071e+03 1.007956312500000e+06 
 1.227046835362322e+03 1.007721187500000e+06 
 1.227053646905544e+03 1.007826562500000e+06 
 1.227060458348795e+03 1.007621562500000e+06 
 1.227067269792045e+03 1.007554500000000e+06 
 1.227074081135295e+03 1.007532812500000e+06 
 1.227080892578539e+03 1.007802562500000e+06 
 1.227087704121819e+03 1.008036125000000e+06 
 1.227094515565070e+03 1.007821500000000e+06 
 1.227101327008349e+03 1.007889125000000e+06 
 1.227108138351628e+03 1.007942250000000e+06 
 1.227114949894909e+03 1.007587750000000e+06 
 1.227121761338189e+03 1.007704375000000e+06 
 1.227128572781468e+03 1.007844312500000e+06 
 1.227135384124747e+03 1.007591812500000e+06 
 1.227142195668050e+03 1.007941812500000e+06 
 1.227149007111359e+03 1.007641750000000e+06 
 1.227155818554667e+03 1.007916937500000e+06 
 1.227162629997976e+03 1.007769937500000e+06 
 1.227169441341284e+03 1.007965312500000e+06 
 1.227176252884594e+03 1.008136187500000e+06 
 1.227183064327932e+03 1.007879000000000e+06 
 1.227189875771270e+03 1.007773562500000e+06 
 1.227196687314572e+03 1.008351625000000e+06 
 1.227203498657909e+03 1.008210625000000e+06 
 1.227210310101247e+03 1.007854187500000e+06 
 1.227217121544614e+03 1.007958000000000e+06 
 1.227223932987952e+03 1.007272187500000e+06 
 1.227230744531291e+03 1.007761500000000e+06 
 1.227237555874657e+03 1.007822375000000e+06 
 1.227244367318024e+03 1.007802562500000e+06 
 1.227251178761391e+03 1.007666812500000e+06 
 1.227257990204751e+03 1.007509312500000e+06 
 1.227264801648118e+03 1.007815875000000e+06 
 1.227271612991484e+03 1.007747875000000e+06 
 1.227278424534881e+03 1.007577687500000e+06 
 1.227285235978248e+03 1.007781687500000e+06 
 1.227292047421644e+03 1.007942125000000e+06 
 1.227298858765040e+03 1.007879875000000e+06 
 1.227305670308437e+03 1.007949750000000e+06 
 1.227312481751833e+03 1.007810750000000e+06 
 1.227319293195251e+03 1.007991875000000e+06 
 1.227326104638647e+03 1.007852875000000e+06 
 1.227332916082072e+03 1.007942500000000e+06 
 1.227339727525497e+03 1.007663125000000e+06 
 1.227346538968923e+03 1.007929375000000e+06 
