#day	flux
1.22436040179693E+03	1.00773012500000E+06
1.22436721323823E+03	1.00774400000000E+06
1.22437402467953E+03	1.00778018750000E+06
1.22438083622086E+03	1.00795443750000E+06
1.22438764766215E+03	1.00775406250000E+06
1.22439445900348E+03	1.00786431250000E+06
1.22440127044478E+03	1.00796981250000E+06
1.22440808198614E+03	1.00772456250000E+06
1.22441489342747E+03	1.00782087500000E+06
1.22442170486883E+03	1.00764600000000E+06
1.22442851621016E+03	1.00787818750000E+06
1.22443532775152E+03	1.00759975000000E+06
1.22444213919288E+03	1.00763118750000E+06
1.22444895063423E+03	1.00796562500000E+06
1.22445576207559E+03	1.00791706250000E+06
1.22446257341698E+03	1.00771768750000E+06
1.22446938495836E+03	1.00800218750000E+06
1.22447619639975E+03	1.00795181250000E+06
1.22448300784114E+03	1.00773962500000E+06
1.22448981918253E+03	1.00804431250000E+06
1.22449663062392E+03	1.00783887500000E+06
1.22450344216533E+03	1.00766800000000E+06
1.22451025360674E+03	1.00799787500000E+06
1.22451706504816E+03	1.00786818750000E+06
1.22452387638958E+03	1.00783856250000E+06
1.22453068783102E+03	1.00758556250000E+06
1.22453749937244E+03	1.00789018750000E+06
1.22454431081389E+03	1.00792256250000E+06
1.22455112225533E+03	1.00789493750000E+06
1.22455793359678E+03	1.00786331250000E+06
1.22456474503822E+03	1.00776293750000E+06
1.22457155657969E+03	1.00784006250000E+06
1.22457836802114E+03	1.00778387500000E+06
1.22458517946264E+03	1.00789818750000E+06
1.22459199080409E+03	1.00766675000000E+06
1.22459880234559E+03	1.00818643750000E+06
1.22460561378710E+03	1.00784918750000E+06
1.22461242522857E+03	1.00787793750000E+06
1.22461923657008E+03	1.00793987500000E+06
1.22462604811158E+03	1.00781306250000E+06
1.22463285955308E+03	1.00774068750000E+06
1.22463967099461E+03	1.00773818750000E+06
1.22464648243612E+03	1.00767206250000E+06
1.22465329377765E+03	1.00785500000000E+06
1.22466010531918E+03	1.00794287500000E+06
1.22466691676072E+03	1.00790687500000E+06
1.22467372820225E+03	1.00786637500000E+06
1.22468053974382E+03	1.00780293750000E+06
1.22468735108538E+03	1.00810993750000E+06
1.22469416252693E+03	1.00807781250000E+06
1.22470097396850E+03	1.00755856250000E+06
1.22470778541006E+03	1.00758687500000E+06
1.22471459695162E+03	1.00769225000000E+06
1.22472140829321E+03	1.00778062500000E+06
1.22472821973480E+03	1.00807087500000E+06
1.22473503117640E+03	1.00749406250000E+06
1.22474184271798E+03	1.00789775000000E+06
1.22474865405960E+03	1.00764525000000E+06
1.22475546550119E+03	1.00760562500000E+06
1.22476227694281E+03	1.00745031250000E+06
1.22476908848441E+03	1.00772112500000E+06
1.22477589992606E+03	1.00784775000000E+06
1.22478271126768E+03	1.00800756250000E+06
1.22478952270933E+03	1.00784812500000E+06
1.22479633415095E+03	1.00783275000000E+06
1.22480314569260E+03	1.00779462500000E+06
1.22480995713424E+03	1.00764625000000E+06
1.22481676847589E+03	1.00795006250000E+06
1.22482357991754E+03	1.00770762500000E+06
1.22483039145922E+03	1.00753318750000E+06
1.22483720290090E+03	1.00747718750000E+06
1.22484401434258E+03	1.00789325000000E+06
1.22485082568425E+03	1.00777856250000E+06
1.22485763722593E+03	1.00787175000000E+06
1.22486444866764E+03	1.00758018750000E+06
1.22487126010934E+03	1.00754125000000E+06
1.22487807155102E+03	1.00779056250000E+06
1.22488488289273E+03	1.00777056250000E+06
1.22489169443444E+03	1.00762962500000E+06
1.22489850587618E+03	1.00786481250000E+06
1.22490531731791E+03	1.00779837500000E+06
1.22491212865962E+03	1.00802118750000E+06
1.22491894020136E+03	1.00754587500000E+06
1.22492575164309E+03	1.00776656250000E+06
1.22493256308485E+03	1.00781056250000E+06
1.22493937452659E+03	1.00813918750000E+06
1.22494618586836E+03	1.00807956250000E+06
1.22495299741012E+03	1.00824206250000E+06
1.22495980885189E+03	1.00805406250000E+06
1.22496662029366E+03	1.00774187500000E+06
1.22497343183545E+03	1.00761293750000E+06
1.22498024317722E+03	1.00799812500000E+06
1.22498705461901E+03	1.00798656250000E+06
1.22499386606077E+03	1.00771125000000E+06
1.22500067750260E+03	1.00793618750000E+06
1.22500748904439E+03	1.00797162500000E+06
1.22501430038622E+03	1.00774287500000E+06
1.22502111182801E+03	1.00770387500000E+06
1.22502792326984E+03	1.00783512500000E+06
1.22503473481166E+03	1.00781250000000E+06
1.22504154615349E+03	1.00797550000000E+06
1.22504835759530E+03	1.00768462500000E+06
1.22505516903716E+03	1.00805656250000E+06
1.22506198057901E+03	1.00784350000000E+06
1.22506879202087E+03	1.00814000000000E+06
1.22507560336272E+03	1.00774343750000E+06
1.22508241480457E+03	1.00806706250000E+06
1.22508922624643E+03	1.00782868750000E+06
1.22509603778831E+03	1.00760318750000E+06
1.22510284923019E+03	1.00778281250000E+06
1.22510966057207E+03	1.00774300000000E+06
1.22511647201395E+03	1.00771731250000E+06
1.22512328345586E+03	1.00504081250000E+06
1.22513009499775E+03	1.00748356250000E+06
1.22513690643966E+03	1.00764675000000E+06
1.22514371778154E+03	1.00759406250000E+06
1.22515052922345E+03	1.00818856250000E+06
1.22515734076539E+03	1.00774981250000E+06
1.22516415220733E+03	1.00785550000000E+06
1.22517096354924E+03	1.00776825000000E+06
1.22517777499118E+03	1.00796200000000E+06
1.22518458643312E+03	1.00767125000000E+06
1.22519139797506E+03	1.00797631250000E+06
1.22519820941700E+03	1.00772156250000E+06
1.22520502075897E+03	1.00792293750000E+06
1.22521183220091E+03	1.00776675000000E+06
1.22521864364288E+03	1.00792450000000E+06
1.22522545518485E+03	1.00773643750000E+06
1.22523226662682E+03	1.00773756250000E+06
1.22523907796881E+03	1.00763768750000E+06
1.22524588941078E+03	1.00780500000000E+06
1.22525270095278E+03	1.00753962500000E+06
1.22525951239478E+03	1.00766893750000E+06
1.22526632383678E+03	1.00812762500000E+06
1.22527313517878E+03	1.00807650000000E+06
1.22527994662078E+03	1.00798312500000E+06
1.22528675816280E+03	1.00766956250000E+06
1.22529356960483E+03	1.00814675000000E+06
1.22530038094683E+03	1.00763900000000E+06
1.22530719238889E+03	1.00793268750000E+06
1.22531400393092E+03	1.00801662500000E+06
1.22532081537297E+03	1.00764581250000E+06
1.22532762681500E+03	1.00779712500000E+06
1.22533443815706E+03	1.00758956250000E+06
1.22534124969912E+03	1.00764856250000E+06
1.22534806114117E+03	1.00787643750000E+06
1.22535487258325E+03	1.00804362500000E+06
1.22536168402531E+03	1.00773762500000E+06
1.22536849536740E+03	1.00784843750000E+06
1.22537530690948E+03	1.00768706250000E+06
1.22538211835157E+03	1.00787693750000E+06
1.22538892979366E+03	1.00772656250000E+06
1.22539574133574E+03	1.00785125000000E+06
1.22540255267786E+03	1.00761800000000E+06
1.22540936411997E+03	1.00797968750000E+06
1.22541617556205E+03	1.00760618750000E+06
1.22542298710420E+03	1.00764762500000E+06
1.22542979844631E+03	1.00771012500000E+06
1.22543660988843E+03	1.00803000000000E+06
1.22544342133057E+03	1.00768818750000E+06
1.22545023277272E+03	1.00776993750000E+06
1.22545704431486E+03	1.00853443750000E+06
1.22546385565701E+03	1.00793856250000E+06
1.22547066709914E+03	1.00797343750000E+06
1.22547747854132E+03	1.00805612500000E+06
1.22548429008346E+03	1.00787100000000E+06
1.22549110152564E+03	1.00782106250000E+06
1.22549791286781E+03	1.00799193750000E+06
1.22550472430998E+03	1.00777525000000E+06
1.22551153585219E+03	1.00790950000000E+06
1.22551834729436E+03	1.00761093750000E+06
1.22552515873656E+03	1.00808350000000E+06
1.22553197007873E+03	1.00769275000000E+06
1.22553878152096E+03	1.00765887500000E+06
1.22554559306317E+03	1.00784918750000E+06
1.22555240450540E+03	1.00781443750000E+06
1.22555921584760E+03	1.00741556250000E+06
1.22556602728980E+03	1.00806668750000E+06
1.22557283883206E+03	1.00790825000000E+06
1.22557965027427E+03	1.00786125000000E+06
1.22558646171652E+03	1.00767468750000E+06
1.22559327305875E+03	1.00788000000000E+06
1.22560008450098E+03	1.00772093750000E+06
1.22560689604325E+03	1.00765743750000E+06
1.22561370748551E+03	1.00799375000000E+06
1.22562051892777E+03	1.00783056250000E+06
1.22562733027006E+03	1.00773106250000E+06
1.22563414181232E+03	1.00784243750000E+06
1.22564095325461E+03	1.00779787500000E+06
1.22564776469686E+03	1.00782381250000E+06
1.22565457623918E+03	1.00750043750000E+06
1.22566138758147E+03	1.00767637500000E+06
1.22566819902376E+03	1.00797425000000E+06
1.22567501046605E+03	1.00781906250000E+06
1.22568182190837E+03	1.00802762500000E+06
1.22568863345069E+03	1.00780100000000E+06
1.22569544479301E+03	1.00758512500000E+06
1.22570225623533E+03	1.00790318750000E+06
1.22570906767764E+03	1.00772375000000E+06
1.22571587921999E+03	1.00778550000000E+06
1.22572269056231E+03	1.00745337500000E+06
1.22572950200466E+03	1.00780200000000E+06
1.22573631344701E+03	1.00798875000000E+06
1.22574312488936E+03	1.00761662500000E+06
1.22574993643171E+03	1.00788362500000E+06
1.22575674777408E+03	1.00749487500000E+06
1.22576355921646E+03	1.00785781250000E+06
1.22577037065883E+03	1.00738437500000E+06
1.22577718210118E+03	1.00780093750000E+06
1.22578399364359E+03	1.00800187500000E+06
1.22579080498596E+03	1.00760687500000E+06
1.22579761642834E+03	1.00780875000000E+06
1.22580442787075E+03	1.00759868750000E+06
1.22581123941315E+03	1.00783806250000E+06
1.22581805085556E+03	1.00761750000000E+06
1.22582486219797E+03	1.00817118750000E+06
1.22583167364037E+03	1.00752593750000E+06
1.22583848508280E+03	1.00800912500000E+06
1.22584529662521E+03	1.00783837500000E+06
1.22585210796764E+03	1.00743725000000E+06
1.22585891941008E+03	1.00462962500000E+06
1.22586573085251E+03	1.00253343750000E+06
1.22587254229498E+03	1.00190187500000E+06
1.22587935383742E+03	1.00172256250000E+06
1.22588616517988E+03	1.00158331250000E+06
1.22589297662231E+03	1.00103806250000E+06
1.22589978806480E+03	1.00128387500000E+06
1.22590659960727E+03	1.00101881250000E+06
1.22591341104973E+03	1.00107050000000E+06
1.22592022239223E+03	1.00104275000000E+06
1.22592703383469E+03	1.00098956250000E+06
1.22593384537719E+03	1.00090825000000E+06
1.22594065681968E+03	1.00081550000000E+06
1.22594746826220E+03	1.00100181250000E+06
1.22595427960469E+03	1.00071575000000E+06
1.22596109104718E+03	1.00118806250000E+06
1.22596790258971E+03	1.00148187500000E+06
1.22597471403223E+03	1.00159818750000E+06
1.22598152537472E+03	1.00156743750000E+06
1.22598833681727E+03	1.00175512500000E+06
1.22599514835980E+03	1.00270156250000E+06
1.22600195980232E+03	1.00421868750000E+06
1.22600877124487E+03	1.00700018750000E+06
1.22601558258742E+03	1.00773125000000E+06
1.22602239402997E+03	1.00777925000000E+06
1.22602920557252E+03	1.00758956250000E+06
1.22603601701507E+03	1.00744925000000E+06
1.22604282845766E+03	1.00775493750000E+06
1.22604963980021E+03	1.00770975000000E+06
1.22605645134279E+03	1.00785818750000E+06
1.22606326278537E+03	1.00767462500000E+06
1.22607007422794E+03	1.00792612500000E+06
1.22607688567055E+03	1.00797850000000E+06
1.22608369711314E+03	1.00802768750000E+06
1.22609050855575E+03	1.00770093750000E+06
1.22609731999833E+03	1.00739893750000E+06
